birthYear,date,education,employmentStatus,ethnicity,gender,id,income,maritalStatus,participantRSA,participateReason,race,residenceCountry,session
1979,"Thu, 28 Jun 2018 11:03:51 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1713,"$150,000 through $199,999",Married,1713,Other,White/European origin,United States,PRE
1979,"Tue, 20 Nov 2018 16:14:08 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1924,"$75,000 through $99,999",Single,1924,Other,East Asian,Canada,PRE
1979,"Tue, 02 Oct 2018 12:08:53 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1858,"$200,000 through $249,999",Married,1858,Other,White/European origin,Canada,PRE
1979,"Wed, 05 Oct 2016 08:55:41 -0500",Ph.D.,Working full-time,Not Hispanic or Latino,Female,822,"$150,000 through $199,999",Married,822,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
1979,"Sun, 22 Oct 2017 12:17:06 -0500",Some College,Working full-time,Unknown,Female,1397,"$75,000 through $99,999","Single, but casually dating",1397,Other,Other or Unknown,United States,PRE
1979,"Wed, 25 Oct 2017 20:07:00 -0500",Associate's Degree,Student,Not Hispanic or Latino,Female,1399,"$75,000 through $99,999",Married,1399,Link from education site,White/European origin,United States,PRE
1979,"Thu, 06 Sep 2018 15:21:11 -0500",Associate's Degree,Student,Not Hispanic or Latino,Female,1809,Prefer not to answer,Married,1809,"Link from blog, chat, or discussion thread",White/European origin,United Kingdom,PRE
1979,"Fri, 16 Sep 2016 09:28:54 -0500",Bachelor's Degree,Working full-time,Hispanic or Latino,Male,653,"$50,000 through $74,999",Married,653,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,Brazil,PRE
1979,"Sun, 25 Sep 2016 11:06:26 -0500",Bachelor's Degree,Working part-time,Not Hispanic or Latino,Male,791,"$100,000 through $149,999",Married,791,Just surfing the web,White/European origin,Canada,PRE
1979,"Tue, 27 Sep 2016 00:03:21 -0500",Some Graduate School,Working full-time,,Female,801,"$150,000 through $199,999",Married,801,Facebook post,South Asian,Canada,PRE
1980,"Wed, 02 Aug 2017 12:07:25 -0500",Some Graduate School,Working full-time,Not Hispanic or Latino,Female,1310,"$100,000 through $149,999",Married,1310,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
1980,"Thu, 04 Aug 2016 14:59:59 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,537,"$50,000 through $74,999",Single,537,Craigslist Ad,White/European origin,United States,PRE
1980,"Sat, 13 Aug 2016 07:27:37 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,544,"$100,000 through $149,999",Married,544,News story,South Asian,United Kingdom,PRE
1980,"Wed, 24 Aug 2016 08:53:55 -0500",Prefer not to answer,Working full-time,Prefer not to answer,Male,567,Prefer not to answer,Married,567,Other,White/European origin,Canada,PRE
1980,"Wed, 24 Aug 2016 09:51:19 -0500",Ph.D.,Working full-time,Not Hispanic or Latino,Male,571,"$100,000 through $149,999",Married,571,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
1980,"Fri, 29 Dec 2017 17:00:58 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,1464,"$200,000 through $249,999",Married,1464,Just surfing the web,White/European origin,United States,PRE
1980,"Thu, 01 Feb 2018 13:22:58 -0500",J.D.,Homemaker/keeping house or raising children full-time,Not Hispanic or Latino,Female,1506,"$250,000 or greater",Married,1506,News story,White/European origin,United States,PRE
1980,"Mon, 05 Feb 2018 20:33:09 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Male,1522,"$35,000 through $49,999",Married,1522,News story,East Asian,China,PRE
1980,"Mon, 23 Jan 2017 18:58:40 -0500",Master's Degree,Homemaker/keeping house or raising children full-time,Not Hispanic or Latino,Female,1078,"$25,000 through $34,999",Married,1078,News story,White/European origin,United States,PRE
1980,"Sat, 29 Jul 2017 22:30:33 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1293,"$35,000 through $49,999",Single,1293,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1980,"Sat, 11 Jun 2016 18:30:44 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,426,"$100,000 through $149,999",Married,426,Advertisement from other sources,White/European origin,United States,PRE
1980,"Mon, 20 Jun 2016 17:58:27 -0500",Some College,Homemaker/keeping house or raising children full-time,Not Hispanic or Latino,Female,457,"$16,000 through $24,999",Married,457,Craigslist Ad,Black/African origin,United States,PRE
1980,"Fri, 24 Jun 2016 01:27:07 -0500",Some College,Homemaker/keeping house or raising children full-time,Not Hispanic or Latino,Female,464,"$35,000 through $49,999",Married,464,Craigslist Ad,White/European origin,United States,PRE
1980,"Sun, 25 Jun 2017 04:12:59 -0500",Bachelor's Degree,Working full-time,Unknown,Female,1240,"$25,000 through $34,999",Prefer not to answer,1240,Other,Other or Unknown,Israel,PRE
1980,"Mon, 27 Jun 2016 18:48:08 -0500",Bachelor's Degree,Unemployed or laid off,Not Hispanic or Latino,Female,471,"Less than $5,000",Single,471,Craigslist Ad,White/European origin,United States,PRE
1980,"Mon, 27 Jun 2016 20:43:16 -0500",Some College,Working full-time,Hispanic or Latino,Female,472,"$16,000 through $24,999",Married,472,Craigslist Ad,Black/African origin,United States,PRE
1980,"Tue, 07 Mar 2017 05:00:13 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Male,1133,"$50,000 through $74,999","Single, but currently living with someone in a marriage-like relationship",1133,"Link from blog, chat, or discussion thread",White/European origin,United Kingdom,PRE
1980,"Sat, 17 Mar 2018 10:01:45 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Male,1604,"$75,000 through $99,999","Single, but currently engaged to be married",1604,Other,White/European origin,United States,PRE
1980,"Mon, 07 May 2018 12:23:08 -0500",Master's Degree,Working full-time,Hispanic or Latino,Female,1667,Prefer not to answer,Married,1667,Just surfing the web,White/European origin,United States,PRE
1980,"Wed, 09 May 2018 04:38:37 -0500",M.D.,Working full-time,Hispanic or Latino,Male,1671,Prefer not to answer,Married,1671,Planned search for information related to this topic,White/European origin,Portugal,PRE
1980,"Thu, 10 May 2018 16:07:14 -0500",Some College,Working full-time,Not Hispanic or Latino,Male,1675,Prefer not to answer,"Single, but casually dating",1675,Other,White/European origin,United States,PRE
1980,"Thu, 10 Nov 2016 09:36:28 -0500",M.B.A.,Working full-time,Not Hispanic or Latino,Female,993,"$75,000 through $99,999",Separated,993,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1980,"Fri, 11 Nov 2016 21:10:01 -0500",Some College,Working part-time,Not Hispanic or Latino,Male,998,"$16,000 through $24,999",Single,998,Planned search for this topic in particular,White/European origin,United States,PRE
1980,"Sun, 11 Nov 2018 09:29:06 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Male,1912,"$75,000 through $99,999",Married,1912,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
1980,"Wed, 16 Nov 2016 18:19:19 -0500",J.D.,Working full-time,Not Hispanic or Latino,Female,1010,"$250,000 or greater",Married,1010,"Recommendation of health professional (e.g., therapist or general practitioner)",Other or Unknown,United States,PRE
1980,"Mon, 03 Oct 2016 16:19:52 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Male,817,"$75,000 through $99,999",Married,817,Facebook post,White/European origin,United States,PRE
1980,"Wed, 19 Oct 2016 07:45:51 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,853,"$35,000 through $49,999",Married,853,News story,White/European origin,United States,PRE
1980,"Wed, 19 Oct 2016 08:42:27 -0500",Some Graduate School,Working full-time,Not Hispanic or Latino,Female,859,"$50,000 through $74,999",Married,859,Other,Other or Unknown,United States,PRE
1980,"Wed, 19 Oct 2016 12:38:05 -0500",Other Advanced Degree,Working full-time,Prefer not to answer,Female,868,"$75,000 through $99,999","Single, but casually dating",868,Link from education site,White/European origin,United States,PRE
1980,"Thu, 20 Oct 2016 17:07:05 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,918,"$100,000 through $149,999",Married,918,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1980,"Sun, 22 Oct 2017 17:39:11 -0500",Associate's Degree,Unemployed or laid off,Hispanic or Latino,Male,1376,Prefer not to answer,Single,1376,Other,Other or Unknown,Colombia,PRE
1980,"Thu, 27 Oct 2016 10:35:48 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,954,"$25,000 through $34,999",Single,954,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1980,"Thu, 27 Oct 2016 11:19:55 -0500",Some High School,Prefer not to answer,Prefer not to answer,Female,955,Prefer not to answer,Single,955,Other,White/European origin,United States,PRE
1980,"Fri, 16 Sep 2016 06:54:38 -0500",Master's Degree,Working full-time,Hispanic or Latino,Female,639,,Married,639,,White/European origin,,PRE
1980,"Fri, 16 Sep 2016 11:22:00 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,668,"$75,000 through $99,999",Married,668,News story,White/European origin,United States,PRE
1980,"Fri, 16 Sep 2016 17:31:46 -0500",Some College,Homemaker/keeping house or raising children full-time,Hispanic or Latino,Female,689,"$50,000 through $74,999",Married,689,Other,Other or Unknown,United States,PRE
1980,"Mon, 19 Sep 2016 10:26:23 -0500",Associate's Degree,Student,Not Hispanic or Latino,Female,746,"$16,000 through $24,999",Single,746,Link from education site,White/European origin,United States,PRE
1980,"Sat, 23 Sep 2017 21:27:24 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1359,"$100,000 through $149,999",Married,1359,Just surfing the web,White/European origin,United States,PRE
1980,"Wed, 26 Sep 2018 11:09:11 -0500",Some College,Student,Not Hispanic or Latino,Female,1852,"$50,000 through $74,999",Married,1852,Other,White/European origin,United States,PRE
1981,"Tue, 10 Apr 2018 07:32:49 -0500",Associate's Degree,Working full-time,Not Hispanic or Latino,Female,1633,"$25,000 through $34,999",Married,1633,Link from education site,White/European origin,United States,PRE
1981,"Sat, 21 Apr 2018 14:58:52 -0500",Associate's Degree,Student,Not Hispanic or Latino,Female,1653,"$75,000 through $99,999",Married,1653,News story,White/European origin,United States,PRE
1981,"Mon, 30 Apr 2018 14:30:34 -0500",Some Graduate School,Working full-time,Prefer not to answer,Female,1662,"$100,000 through $149,999",Married,1662,Recommendation of teacher,Prefer not to answer,United States,PRE
1981,"Tue, 01 Aug 2017 23:04:05 -0500",Master's Degree,Homemaker/keeping house or raising children full-time,Not Hispanic or Latino,Female,1307,"$25,000 through $34,999",Married,1307,Facebook post,White/European origin,United States,PRE
1981,"Thu, 30 Aug 2018 21:35:15 -0500",M.D.,Working full-time,Not Hispanic or Latino,Female,1792,"$150,000 through $199,999",Single,1792,Advertisement from other sources,White/European origin,United States,PRE
1981,"Sat, 24 Feb 2018 12:14:49 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Prefer not to answer,1558,Prefer not to answer,Single,1558,News story,White/European origin,United States,PRE
1981,"Thu, 04 Jan 2018 09:34:41 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,1473,"$75,000 through $99,999",Married,1473,Link from education site,White/European origin,Austria,PRE
1981,"Tue, 31 Jan 2017 16:10:12 -0500",Some College,Other,Not Hispanic or Latino,Female,1090,"$35,000 through $49,999",Married,1090,"Link from blog, chat, or discussion thread",American Indian/Alaska Native,Canada,PRE
1981,"Mon, 13 Jun 2016 11:48:38 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,432,"$50,000 through $74,999",Single,432,Planned search for information related to this topic,White/European origin,United States,PRE
1981,"Thu, 16 Jun 2016 23:23:49 -0500",Some Graduate School,Working full-time,Hispanic or Latino,Female,446,"$50,000 through $74,999",Married,446,News story,White/European origin,United States,PRE
1981,"Thu, 01 Mar 2018 16:26:41 -0500",Master's Degree,Student,Not Hispanic or Latino,Female,1573,"$50,000 through $74,999",Married,1573,Facebook post,White/European origin,Austria,PRE
1981,"Tue, 13 Mar 2018 08:04:58 -0500",Associate's Degree,Working full-time,Prefer not to answer,Female,1597,Prefer not to answer,"Single, but casually dating",1597,Link from education site,Prefer not to answer,United States,PRE
1981,"Tue, 04 Oct 2016 08:51:17 -0500",Master's Degree,Working part-time,Not Hispanic or Latino,Female,818,"$75,000 through $99,999",Married,818,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1981,"Mon, 08 Oct 2018 15:54:44 -0500",Bachelor's Degree,Working full-time,Prefer not to answer,Female,1868,"$5,000 through $11,999",Single,1868,Other,East Asian,United Kingdom,PRE
1981,"Mon, 10 Oct 2016 18:27:06 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,835,"$16,000 through $24,999",Single,835,Link from education site,White/European origin,United Kingdom,PRE
1981,"Sun, 23 Oct 2016 10:24:08 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,935,"$35,000 through $49,999",Divorced,935,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1981,"Wed, 26 Oct 2016 11:54:17 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Male,950,"$75,000 through $99,999",Married,950,Link from education site,White/European origin,United States,PRE
1981,"Fri, 16 Sep 2016 07:07:34 -0500",Master's Degree,Homemaker/keeping house or raising children full-time,Not Hispanic or Latino,Female,642,"$75,000 through $99,999",Married,642,"Recommendation of friend, family , acquaintance, or colleague",White/European origin,United States,PRE
1981,"Mon, 17 Sep 2018 11:48:33 -0500",Bachelor's Degree,Working full-time,Not Hispanic or Latino,Female,1838,"$100,000 through $149,999",Married,1838,"Link from blog, chat, or discussion thread",White/European origin,United States,PRE
1981,"Wed, 19 Sep 2018 06:39:23 -0500",Master's Degree,Other,Not Hispanic or Latino,Male,1841,Prefer not to answer,Single,1841,Other,White/European origin,Poland,PRE
1981,"Sat, 24 Sep 2016 16:35:47 -0500",Master's Degree,Working full-time,Not Hispanic or Latino,Female,787,"$16,000 through $24,999",Single,787,"Recommendation of friend, family , acquaintance, or colleague",Other or Unknown,United States,PRE
1981,"Fri, 29 Sep 2017 03:51:01 -0500",Associate's Degree,Student,Not Hispanic or Latino,Female,1374,"$5,000 through $11,999",Divorced,1374,Just surfing the web,White/European origin,United States,PRE
1982,"Mon, 17 Apr 2017 08:46:26 -0500",Associate's Degree,Working part-time,Not Hispanic or Latino,Female,1184,"$25,000 through $34,999",Single,1184,Link from education site,Other or Unknown,United States,PRE
